name,station,Mean Bias,MAE,RMS Error,NRMSE,R,r^2,NSE,n
CP25,Fortress - Powerline Forest,2.532,34.018,46.102,0.195,0.938,0.88,0.8754025846161019,109
CP25,Marmot - Upper Forest,4.875,16.433,20.919,0.355,0.839,0.704,0.685983338352528,124
CP25,Russell - Old Growth,-108.871,113.534,141.787,1.099,0.951,0.904,-5.256566596415029,12
CP25,Wolf Creek - Forest,6.724,14.087,17.622,0.481,0.858,0.737,0.6916322835039148,37
CP25,All Station Mean,-0.628,27.054,43.705,0.342,0.941,0.885,0.8744528352259446,282
E10,Fortress - Powerline Forest,-8.936,43.461,53.839,0.228,0.925,0.855,0.830070970763926,109
E10,Marmot - Upper Forest,-5.02,22.272,30.619,0.52,0.78,0.608,0.32723570059311213,124
E10,Russell - Old Growth,-465.367,465.367,499.991,3.876,0.733,0.537,-76.80092014602018,12
E10,Wolf Creek - Forest,-5.81,17.103,21.929,0.599,0.767,0.588,0.52246068825331,37
E10,All Station Mean,-26.226,48.639,110.606,0.867,0.761,0.579,0.19593049507712834,282
